CustomerId,CustomerName,CustomerAddress
2001,FAKE UNIVERSITY CO,"178 MOCK ROAD_x000D_
HONG KONG_x000D_
UNIT 03F"
2002,FAKE OWNERS COMMITTEE ASSOCIATION,"1 MOCK ROAD_x000D_
HONG KONG_x000D_
ROOM 337"
2003,FAKE JLL LTD,"80 MOCK ROAD_x000D_
KOWLOON_x000D_
ROOM 188"
2004,FAKE SCHOOL BOARD LTD,"122 MOCK ROAD_x000D_
HONG KONG_x000D_
UNIT 33F"
2005,FAKE UNIVERSITY LTD,"24 MOCK ROAD_x000D_
HONG KONG_x000D_
ROOM 092"
2006,FAKE UNIVERSITY LTD,"101 MOCK ROAD_x000D_
KOWLOON_x000D_
UNIT 20F"
2007,FAKE PROPERTY MGMT CO,"169 MOCK ROAD_x000D_
NEW TERRITORIES_x000D_
ROOM 611"
2008,FAKE HOSPITAL AUTHORITY ASSOCIATION,"39 MOCK ROAD_x000D_
HONG KONG_x000D_
UNIT 47F"
2009,FAKE PROPERTY MGMT ASSOCIATION,"188 MOCK ROAD_x000D_
NEW TERRITORIES_x000D_
BLOCK B"
2010,FAKE UNIVERSITY LTD,"176 MOCK ROAD_x000D_
NEW TERRITORIES_x000D_
BLOCK F"
2011,FAKE HOSPITAL AUTHORITY CO,"22 MOCK ROAD_x000D_
KOWLOON_x000D_
ROOM 137"
2012,FAKE PROPERTY MGMT ASSOCIATION,"116 MOCK ROAD_x000D_
NEW TERRITORIES_x000D_
BLOCK A"
2013,FAKE UNIVERSITY CO,"126 MOCK ROAD_x000D_
HONG KONG_x000D_
UNIT 01F"
2014,FAKE HOSPITAL AUTHORITY LTD,"169 MOCK ROAD_x000D_
NEW TERRITORIES_x000D_
ROOM 764"
2015,FAKE OWNERS COMMITTEE LTD,"68 MOCK ROAD_x000D_
KOWLOON_x000D_
UNIT 47F"
2016,FAKE HOSPITAL AUTHORITY ASSOCIATION,"127 MOCK ROAD_x000D_
HONG KONG_x000D_
ROOM 491"
2017,FAKE PROPERTY MGMT CO,"20 MOCK ROAD_x000D_
NEW TERRITORIES_x000D_
BLOCK C"
2018,FAKE HOSPITAL AUTHORITY GROUP,"160 MOCK ROAD_x000D_
NEW TERRITORIES_x000D_
UNIT 09F"
2019,FAKE SCHOOL BOARD GROUP,"173 MOCK ROAD_x000D_
KOWLOON_x000D_
ROOM 223"
2020,FAKE OWNERS COMMITTEE GROUP,"119 MOCK ROAD_x000D_
HONG KONG_x000D_
BLOCK A"
2021,FAKE JLL GROUP,"22 MOCK ROAD_x000D_
HONG KONG_x000D_
UNIT 02F"
2022,FAKE UNIVERSITY ASSOCIATION,"69 MOCK ROAD_x000D_
HONG KONG_x000D_
BLOCK A"
2023,FAKE PROPERTY MGMT CO,"192 MOCK ROAD_x000D_
NEW TERRITORIES_x000D_
BLOCK B"
2024,FAKE HOSPITAL AUTHORITY GROUP,"29 MOCK ROAD_x000D_
NEW TERRITORIES_x000D_
ROOM 237"
2025,FAKE SCHOOL BOARD LTD,"41 MOCK ROAD_x000D_
KOWLOON_x000D_
ROOM 698"
2026,FAKE OWNERS COMMITTEE CO,"107 MOCK ROAD_x000D_
HONG KONG_x000D_
ROOM 324"
2027,FAKE PROPERTY MGMT GROUP,"193 MOCK ROAD_x000D_
HONG KONG_x000D_
UNIT 54F"
2028,FAKE HOSPITAL AUTHORITY LTD,"190 MOCK ROAD_x000D_
HONG KONG_x000D_
ROOM 382"
2029,FAKE SCHOOL BOARD LTD,"93 MOCK ROAD_x000D_
HONG KONG_x000D_
UNIT 49F"
2030,FAKE OWNERS COMMITTEE LTD,"14 MOCK ROAD_x000D_
NEW TERRITORIES_x000D_
UNIT 19F"
2031,FAKE OWNERS COMMITTEE ASSOCIATION,"131 MOCK ROAD_x000D_
HONG KONG_x000D_
ROOM 792"
2032,FAKE PROPERTY MGMT ASSOCIATION,"142 MOCK ROAD_x000D_
NEW TERRITORIES_x000D_
UNIT 14F"
2033,FAKE HOSPITAL AUTHORITY ASSOCIATION,"116 MOCK ROAD_x000D_
NEW TERRITORIES_x000D_
ROOM 142"
2034,FAKE SCHOOL BOARD LTD,"141 MOCK ROAD_x000D_
KOWLOON_x000D_
ROOM 484"
2035,FAKE OWNERS COMMITTEE GROUP,"66 MOCK ROAD_x000D_
NEW TERRITORIES_x000D_
ROOM 669"
2036,FAKE HOSPITAL AUTHORITY CO,"78 MOCK ROAD_x000D_
HONG KONG_x000D_
UNIT 36F"
2037,FAKE JLL CO,"20 MOCK ROAD_x000D_
KOWLOON_x000D_
BLOCK D"
2038,FAKE JLL ASSOCIATION,"86 MOCK ROAD_x000D_
HONG KONG_x000D_
UNIT 28F"
2039,FAKE JLL LTD,"45 MOCK ROAD_x000D_
HONG KONG_x000D_
UNIT 36F"
2040,FAKE OWNERS COMMITTEE GROUP,"146 MOCK ROAD_x000D_
KOWLOON_x000D_
ROOM 021"
